number,language,title,author,translator
00,en,Front Matter,Sasha Sokolov,
00,ru,Паратекстуальные материалы,Sasha Sokolov,
01,en,Discords Beyond the Itil,Sasha Sokolov,Alexander Boguslawski
01,ru,Заитильщина,Sasha Sokolov,
02,en,The Trapper's Tale,Sasha Sokolov,Alexander Boguslawski
02,ru,Ловчая повесть,Sasha Sokolov,
03,en,Notes of a Binging Hunter,Sasha Sokolov,Alexander Boguslawski
03,ru,Записки запойного охотника,Sasha Sokolov,
04,en,Dzyndzyrela’s Discords Beyond the Itil,Sasha Sokolov,Alexander Boguslawski
04,ru,Заитильщина Дзындзырэлы,Sasha Sokolov,
05,en,The Trapper's Tale or Pictures from an Exhibition,Sasha Sokolov,Alexander Boguslawski
05,ru,"Ловчая повесть, или картинки с выставки",Sasha Sokolov,
06,en,Accordin to Ilya Petrikeich,Sasha Sokolov,Alexander Boguslawski
06,ru,От Ильи Петрикеича,Sasha Sokolov,
07,en,Notes of a Hunter,Sasha Sokolov,Alexander Boguslawski
07,ru,Записки охотника,Sasha Sokolov,
08,en,Discords Beyond the Itil,Sasha Sokolov,Alexander Boguslawski
08,ru,Заитильщина,Sasha Sokolov,
09,en,Pictures from an Exhibition,Sasha Sokolov,Alexander Boguslawski
09,ru,Картинки с выставки,Sasha Sokolov,
10,en,Dzynzyrella's,Sasha Sokolov,Alexander Boguslawski
10,ru,Дзынзырэлы,Sasha Sokolov,
11,en,Again the Notes,Sasha Sokolov,Alexander Boguslawski
11,ru,Опять записки,Sasha Sokolov,
12,en,Discords Beyond the Itil,Sasha Sokolov,Alexander Boguslawski
12,ru,Заитильщина,Sasha Sokolov,
13,en,Pictures from an Exhibition,Sasha Sokolov,Alexander Boguslawski
13,ru,Картинки с выставки,Sasha Sokolov,
14,en,Accordin to Ilya Petrikeich,Sasha Sokolov,Alexander Boguslawski
14,ru,От Ильи Петрикеича,Sasha Sokolov,
15,en,The Binger's Journal,Sasha Sokolov,Alexander Boguslawski
15,ru,Журнал запойного,Sasha Sokolov,
16,en,The Trapper's Tale,Sasha Sokolov,Alexander Boguslawski
16,ru,Ловчая повесть,Sasha Sokolov,
17,en,The Last Remarks,Sasha Sokolov,Alexander Boguslawski
17,ru,Последнее,Sasha Sokolov,
18,en,"The Note, Sent in a Separate Bottle",Sasha Sokolov,Alexander Boguslawski
18,ru,"Записка, посланная отдельной бутылкой",Sasha Sokolov,
