id,text,suffix,text_html,suffix_html,start_position,end_position,children,is_child
s3jxcmZ4Ee6-_5ctgffkgg,philosophized,. Yak,philosophized,. Yak,808,821,[],False
Hi7jlmZ5Ee68EL_mUKkmPA,Yakov, Ilyi,Yakov, Ilyi,823,828,[],False
Jl32BmZ5Ee611XfteDEesg,Yakov, Ilyi,Yakov, Ilyi,1933,1938,[],False
L5DH2mZ5Ee6cdKPhwsdzxA,Yakov, Ilyi,Yakov, Ilyi,2727,2732,[],False
NDKwSGZ8Ee6QzCNihfOUfg,"One needs to think with more energy, he would emphasize, 
one has to inculcate some kind of certainty in the mind, one 
has to constantly—here he would decide to stop, planning to 
find for sure a replacement for the awkward word that was getting ready to finish his phrase, but he would not stop soon 
enough and the word would break loose, jump out—every 
day, Yakov Ilyich would say, keep inculcating",. Str,"One needs to think with more energy, he would emphasize, 
one has to inculcate some kind of certainty in the mind, one 
has to constantly—here he would decide to stop, planning to 
find for sure a replacement for the awkward word that was getting ready to finish his phrase, but he would not stop soon 
enough and the word would break loose, jump out—every 
day, Yakov Ilyich would say, keep inculcating",. Str,3313,3716,"[Annotation(id='Ng-BFGZ5Ee6_myuV_FpeHg', text='Yakov', suffix=' Ilyi', text_html='Yakov', suffix_html=' Ilyi', start_position=3676, end_position=3681, children=[], is_child=True)]",False
Ng-BFGZ5Ee6_myuV_FpeHg,Yakov, Ilyi,Yakov, Ilyi,3676,3681,[],True
PskFMmZ5Ee6fM8d6YS2lKg,Yakov," 
Ily",Yakov," 
Ily",3972,3977,[],False
ekWPwmZ5Ee68UvPEX4YOcQ,Ilyich, woul,Ilyich, woul,3979,3985,[],False
uB79qGZ8Ee613W_tIVeVtw,sheepskin jacket,", 
wa",sheepskin jacket,", 
wa",5221,5237,[],False
E93zTGZ9Ee6MP_OS0nPXEA,hat with earflaps,", Yak",hat with earflaps,", Yak",6150,6167,[],False
SZh2eGZ5Ee6oYXuETWzWjw,Yakov, Ilyi,Yakov, Ilyi,6169,6174,[],False
TReGBGZ5Ee6Qal9_WRVP8A,Yakov, Ilyi,Yakov, Ilyi,6383,6388,[],False
UhiIYGZ5Ee6glSfkfcmm0w,Yakov, Ilyi,Yakov, Ilyi,6846,6851,[],False
HxUc-GZ-Ee6k_BuyOoblWQ,"he would like the 
trip to last and last, and he, Yakov Ilyich, a pitiful, hapless, and 
grateful person, with this head of his, would like to be carried 
and carried somewhere",", and","he would like the 
trip to last and last, and he, Yakov Ilyich, a pitiful, hapless, and 
grateful person, with this head of his, would like to be carried 
and carried somewhere",", and",8190,8366,"[Annotation(id='WmuiImZ5Ee6fWKu-FKfyvA', text='Yakov', suffix=' Ilyi', text_html='Yakov', suffix_html=' Ilyi', start_position=8240, end_position=8245, children=[], is_child=True)]",False
WmuiImZ5Ee6fWKu-FKfyvA,Yakov, Ilyi,Yakov, Ilyi,8240,8245,[],True
